"Molecule ChEMBL ID","Molecule Name","Molecular Weight","AlogP","Smiles","hERG_IC50_nM","Assay Type","Target Name","Document Year"
"CHEMBL1189679","PALONOSETRON","296.41","2.66","O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2",3981.07,"F","HERG",2014
"CHEMBL779","TADALAFIL","389.41","2.21","CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O",79432.82,"F","HERG",2014
"CHEMBL462605","PITOLISANT","295.85","4.17","Clc1ccc(CCCOCCCN2CCCCC2)cc1",1700,"B","HERG",2017
"CHEMBL5080306",,"352.39","3.7","CC(=O)c1c(-c2ccc(O)cn2)oc2ccc(O)c(CN3CCCC3)c12",20500,"B","HERG",2022
"CHEMBL5074531",,"352.39","3.08","CNC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCC3)c12",11000,"B","HERG",2022
"CHEMBL1224151",,"419.5","5.1","COc1cc(/C=C2\CCCN([C@@H](C)c3ccc(F)cc3)C2=O)ccc1-n1cnc(C)c1",1200,"B","HERG",2012
"CHEMBL1830698",,"269.33","2.77","c1ccc(Nc2nc3c(s2)CCc2n[nH]cc2-3)nc1",17000,"B","HERG",2011
"CHEMBL521851","PICTILISIB","513.65","2.15","CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1",64000,"B","HERG",2012
"CHEMBL447183",,"382.37","1.99","N#Cc1ccc(C(=O)N2CCC3(CC2)N=C(N)c2c(F)ccc(F)c2N3)cn1",100,"B","HERG",2011
"CHEMBL1829604",,"498.55","4.44","O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN(C2CCC(c3c[nH]c4ccccc34)CC2)C1",2400,"B","HERG",2011
"CHEMBL1779536",,"434.58","3.72","Cc1c2c(n3c1CCCN1CC[C@H](CNc4cc-3ccc4C(N)=O)C1)CC(C)(C)CC2=O",440,"B","HERG",2011
"CHEMBL3358000",,"506.42","2.29","C[C@@H]1CN(c2nnc(C(F)(F)F)o2)CCN1c1ncc(OCc2ccc(-n3cnnn3)cc2F)cn1",5700,"B","HERG",2014
"CHEMBL3357996",,"470.42","2.92","C[C@@H]1CN(c2nnc(C(F)(F)F)o2)CCN1c1ncc(OCc2ccc(C#N)cc2C#N)cn1",3600,"B","HERG",2014
"CHEMBL2336328",,"478.6","2.22","C[C@@H]1CN(c2nc(N3CCOCC3)c3ccc(-c4cccc(CNCCO)c4)nc3n2)C[C@H](C)O1",13000,"B","HERG",2013
"CHEMBL2022867",,"271.32","4.09","c1ccc(-n2cc(-c3ccnc4ccccc34)cn2)cc1",2500,"B","HERG",2012
"CHEMBL3622105",,"432.52","2.96","Cc1c([C@@H](O)CN2CCC3(CC2)CCN(c2ccc(C#N)cn2)C3)ccc2c1COC2=O",96000,"T","HERG",2021
"CHEMBL2203713",,"326.47","3.3","N=C(Nc1ccc2c(c1)CCN2C1CCNCC1)c1cccs1",13000,"B","HERG",2012
"CHEMBL2165060",,"481.55","1.45","COc1ccc2ncc(=O)n(CCN3CC[C@H](NCc4cc5c(cn4)OCCO5)[C@@H](OC)C3)c2c1",93000,"B","HERG",2012
"CHEMBL2165059",,"488.55","1.48","CO[C@@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@H]1NCc1ccc2c(n1)NC(=O)CO2",124000,"B","HERG",2012
"CHEMBL2165056",,"481.55","1.45","COc1ccc2ncc(=O)n(CCN3CC[C@@H](NCc4cc5c(cn4)OCCO5)[C@@H](OC)C3)c2c1",75000,"B","HERG",2012
"CHEMBL2164739",,"482.52","1.33","COc1ccc2ncc(=O)n(CCN3CC[C@H](NCc4ccc5c(n4)NC(=O)CO5)[C@@H](F)C3)c2c1",19000,"B","HERG",2012
"CHEMBL2165063",,"464.53","1.39","COc1ccc2ncc(=O)n(CCN3CCC(NCc4ccc5c(n4)NC(=O)CO5)CC3)c2c1",35000,"B","HERG",2012
"CHEMBL1802360",,"369.44","3.57","O=c1[nH]c2ccccc2n1C1CCN(CCCOc2ccc(F)cc2)CC1",79.43,"B","HERG",2010
"CHEMBL1952329","SGI-1776","405.42","4.05","CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1",980,"B","HERG",2012
"CHEMBL2181488",,"428.41","3.88","Nc1ncc(-c2ccc(C(=O)N3CCOCC3)cc2)cc1-c1ccc(C(F)(F)F)nc1",20200,"B","HERG",2012
"CHEMBL1214731",,"409.26","1.96","Cn1cc(Br)c(C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2)n1",19000,"B","HERG",2010
"CHEMBL2164372",,"434.41","3.58","O=C(NCc1ccc(OC(F)(F)F)cc1)C1c2ccccc2C(=O)N1C[C@@H]1CCCO1",17000,"B","HERG",2012
"CHEMBL2164387",,"439.44","4.16","O=C(NCc1ccc(C(F)(F)F)cc1)C1c2ccccc2C(=O)N1CCc1ccccn1",8600,"B","HERG",2012
"CHEMBL2208433",,"504.41","3.81","CN(C[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)C(=O)c1c[nH]c(=O)c2ccccc12",1995.26,"B","HERG",2012
"CHEMBL2207666",,"490.39","3.47","O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2ccccc12",6309.57,"B","HERG",2012
"CHEMBL1093696",,"453.95","4.65","O=C(NCc1ccc(F)cc1)N(c1ccc(Cl)cc1)C1CCN(Cc2ccnnc2)CC1",12000,"B","HERG",2010
"CHEMBL2381908",,"548.7","7.7","CC(C)CN1CCC(COc2ccc(NC(=O)Nc3cccnc3Oc3ccccc3C(C)(C)C)c(F)c2)CC1",3700,"B","HERG",2013
"CHEMBL5084158",,"493.1","5.96","O=c1ccc2c([nH]1)CCC(NCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)C2",6357,"B","HERG",2021
"CHEMBL5085880",,"507.12","6.35","O=c1ccc2c([nH]1)CCC(NCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)C2",2191,"B","HERG",2021
"CHEMBL5069637",,"426.44","3.23","CNC(=O)c1c(-c2ccc(O)c(F)c2)oc2ccc(O)c(CN3CCC4(COC4)C3)c12",2700,"B","HERG",2022
"CHEMBL5093828",,"443.5","3.96","CC(=O)N1C=Cc2nc(N3CCC(Oc4ccc(F)cc4F)CC3)c(NC(C)C)nc2C1",6200,"T","HERG",2021
"CHEMBL2165063",,"464.53","1.39","COc1ccc2ncc(=O)n(CCN3CCC(NCc4ccc5c(n4)NC(=O)CO5)CC3)c2c1",35000,"T","HERG",2022
"CHEMBL568571",,"481.52","5.31","CCO/N=C(/c1ccc(CN2CCC3(CC2)OCc2cc(F)ncc23)cc1)c1ccc(F)c(F)c1",140,"B","HERG",2009
"CHEMBL2203842",,"405.47","2.01","CNc1cc(Nc2cnc(C#N)c(O[C@H]3CCN(C)C3)n2)ncc1-c1cnn(C)c1",19000,"B","HERG",2012
"CHEMBL2324247",,"291.35","4.24","c1ccc(OCc2cccc(COc3ccccc3)n2)cc1",74,"B","HERG",2013
"CHEMBL2325216",,"363.27","4.62","C[n+]1c(C#Cc2ccccc2Cl)cccc1C#Cc1ccccc1Cl",3901,"B","HERG",2013
"CHEMBL2325210",,"294.38","3.31","C[n+]1c(C#Cc2ccccc2)cccc1C#Cc1ccccc1",554,"B","HERG",2013
"CHEMBL3758932",,"420.94","2.64","COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCn2cccc2)C[C@H]1OC",6835,"B","HERG",2016
"CHEMBL4776200",,"440.5","2.89","CN1CCN(C(=O)C2CCN(c3nccc4[nH]c(-c5ccc(F)c(F)c5)nc34)CC2)CC1",12000,"B","HERG",2020
"CHEMBL3785102",,"480.52","2.49","COc1ccc(-c2nnc(C(=O)N3CC(Oc4ccc(CN5CCOCC5)c(OC)c4)C3)o2)cc1",9800,"B","HERG",2016
"CHEMBL3786350",,"450.5","2.48","COc1ccc(-c2nnc(C(=O)N3CC(Oc4ccc(CN5CC(OC)C5)cc4)C3)o2)cc1",8500,"B","HERG",2016
"CHEMBL3793717",,"475.55","1.83","Cc1cc(-n2cnnn2)ncc1C(C)C(=O)N1CCN(CCc2ccc3c(c2C)COC3=O)CC1",42000,"B","HERG",2016
"CHEMBL3317856","GEPOTIDACIN","448.53","1.09","O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1",588,"B","HERG",2017
"CHEMBL2069928",,"322.37","3.2","c1cncc(-c2ccc(-c3noc(C4CN5CCC4CC5)n3)o2)c1",6400,"B","HERG",2012
"CHEMBL2016776",,"543.55","4.45","Cc1nc(N2CCC(N3CCCC3=O)CC2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12",3700,"B","HERG",2012
"CHEMBL2147225",,"476.46","3.86","COc1ccc(CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)c(-c2cnc(OC)nc2)c1",6309.57,"B","HERG",2012
"CHEMBL2147317",,"500.4","4.29","COc1cnc(-c2cccc(F)c2C(F)(F)CNC(=O)c2ccc(COCC(F)(F)F)nc2)cn1",19952.62,"B","HERG",2012
"CHEMBL4129805",,"365.48","2.34","N#Cc1ccc(O[C@@H]2[C@@H]3[C@H](C[C@H]2N2CCC[C@@H](N)C2)[C@@H]2CC(=O)[C@H]3C2)cc1",17000,"B","HERG",2018
"CHEMBL3086042",,"569.93","5.38","O=C(NC(c1ccc(Cl)cc1)c1cnccn1)[C@@H]1CC[C@@H](N2CCOCC2)C[C@H]1c1ccc(Br)cc1",1000,"B","HERG",2013
"CHEMBL3415610",,"382.42","1.26","COc1cccc2[nH]c(-c3nc(N[C@@H]4CCOC[C@@H]4N)cnc3C(N)=O)cc12",22000,"B","HERG",2015
"CHEMBL2010840",,"476.48","3.49","CN(C(=O)Cc1ccc(-n2cnnn2)cc1)C1CCN(Cc2ccc(C(F)(F)F)c(F)c2)CC1",2800,"B","HERG",2011
"CHEMBL2023925",,"437.52","4.72","Cc1cc(NC(=O)c2ccccc2F)ccc1-c1nnc(NCCCN2CCCCC2)o1",3981.07,"B","HERG",2012
"CHEMBL2031874",,"391.52","3.15","CN(C)C(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1",11000,"B","HERG",2012
"CHEMBL246815",,"399.47","2.87","CC(C(O)c1ccc2c(c1)CNC(=O)N2)N1CCC(O)(c2ccc(F)cc2)CC1",7400,"B","HERG",2007
"CHEMBL428594",,"558.58","7.55","CC(C)[C@]1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC[C@@H](N2CCC(c3ccc(F)cc3)CC2)C1",16,"B","HERG",2008
"CHEMBL401608",,"593.01","5.97","CC(C)(O)[C@]1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC[C@@H](N2CCC(c3cc(Cl)ncn3)CC2)C1",186,"B","HERG",2008
"CHEMBL256154",,"542.57","6.2","CC(C)[C@]1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC[C@@H](N2CCC(c3cncnc3)CC2)C1",1413,"B","HERG",2008
"CHEMBL3425810",,"494.52","2.16","O=c1ccc2ncc(F)c3c2n1C[C@@]3(O)CC12CCC(NCc3cc4c(cn3)OCCO4)(CC1)CO2",764000,"B","HERG",2015
"CHEMBL402624",,"600.6","6.23","CC(C)(O)[C@]1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC[C@@H](N2CCC(c3cccc(C(=O)O)c3)CC2)C1",19720,"B","HERG",2008
"CHEMBL54","HALOPERIDOL","375.87","4.43","O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1",10,"B","HERG",2013
"CHEMBL3331484",,"271.19","2.93","Clc1ccc(CN(C2CC2)C2CNC2)cc1Cl",4710,"B","HERG",2014
"CHEMBL1223600",,"355.5","3.64","CC(C)c1ccc(CS(=O)(=O)c2ccc([C@]34CNC[C@H]3C4)cc2)cc1",3162.28,"B","HERG",2010
"CHEMBL1090176",,"337.47","3.86","COc1nccnc1[C@H](C)C1=C(CCN(C)C)Cc2cc(C)ccc21",3800,"B","HERG",2010
"CHEMBL4115295",,"394.38","2.74","Cc1nsc(-c2nnc3n2CCN(C(=O)c2ccc(F)c(F)c2F)[C@@H]3C)n1",70000,"B","HERG",2016
"CHEMBL4113428",,"412.37","2.88","Cc1nsc(-c2nnc3n2CCN(C(=O)c2cc(F)c(F)c(F)c2F)[C@@H]3C)n1",70000,"B","HERG",2016
"CHEMBL2208429",,"463.37","3.5","O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1n[nH]c2ccccc12",251.19,"B","HERG",2012
"CHEMBL4520755",,"392.94","2.59","CO[C@@H](C)CN(CCc1ccc(Cl)cc1)C1CCN(c2nc(N)n[nH]2)CC1",17600,"B","HERG",2019
